Date,Adj Close,Close,High,Low,Open,Volume
2023-02-27,57059.03906,60500,60800,60200,60800,11155697
2023-02-28,57153.35547,60600,61400,60500,60800,13715861
2023-03-02,57341.97656,60800,61800,60500,60900,13095682
2023-03-03,57059.03906,60500,61200,60500,61000,10711405
2023-03-06,58002.16406,61500,61600,60800,61100,13630602
2023-03-07,57247.66016,60700,61400,60700,61400,11473280
2023-03-08,56870.41406,60300,60500,59900,60100,14161857
2023-03-09,56681.78906,60100,60800,59900,60500,14334499
2023-03-10,56115.92188,59500,59700,59100,59500,11902471
2023-03-13,56587.47656,60000,60200,59300,59900,12779724
2023-03-14,55644.34375,59000,59500,59000,59400,12147346
2023-03-15,56398.85547,59800,60300,59600,60000,10482149
2023-03-16,56493.16797,59900,60200,59100,59200,10611939
2023-03-17,57813.53516,61300,61300,60600,60800,14090110
2023-03-20,56776.10156,60200,61200,60200,61100,9618009
2023-03-21,56870.41406,60300,60700,60100,60500,8318514
2023-03-22,57624.91406,61100,61200,60500,61000,8978591
2023-03-23,58756.66797,62300,62300,60600,60600,15381057
2023-03-24,59416.84766,63000,63300,62300,62700,18278602
2023-03-27,58568.03516,62100,62800,62000,62600,11039331
2023-03-28,59322.53906,62900,62900,62100,62400,11614118
2023-03-29,59133.92188,62700,62700,62200,62500,11216008
2023-03-30,59950.64844,63200,63700,63100,63700,15684377
2023-03-31,60709.51563,64000,64000,63700,64000,14094479
2023-04-03,59855.78516,63100,64000,63000,64000,11973133
2023-04-04,60330.08203,63600,63800,62800,63400,11120514
2023-04-05,60614.64844,63900,64000,63400,63700,9176149
2023-04-06,59096.91797,62300,63600,62300,63500,14992747
2023-04-07,61658.10547,65000,65200,63800,63800,27476120
2023-04-10,62322.11719,65700,66300,64700,64800,18777166
2023-04-11,62511.82813,65900,66200,65400,66200,16323183
2023-04-12,62606.6875,66000,66200,65300,65800,15021313
2023-04-13,62701.54297,66100,66100,65400,65600,15091022
2023-04-14,61752.96094,65100,66600,65000,66600,16176490
2023-04-17,61942.67578,65300,65600,64700,65000,13486618
2023-04-18,62227.25391,65600,66000,64800,65900,14802060
2023-04-19,62132.39844,65500,65800,65300,65500,10255985
2023-04-20,61942.67578,65300,65300,64600,65100,9501169
2023-04-21,62322.11719,65700,65900,65400,65800,10538622
2023-04-24,61847.82422,65200,65700,64800,65300,12986581
2023-04-25,60330.08203,63600,65400,63400,65300,16193271
2023-04-26,60804.375,64100,64300,63300,63600,12664541
2023-04-27,61278.66797,64600,65000,63300,64100,14779601
2023-04-28,62132.39844,65500,65900,65000,65200,19699481
2023-05-02,62322.11719,65700,66300,65100,66000,14396948
2023-05-03,62037.53125,65400,65600,64900,65100,8876749
2023-05-04,61752.96094,65100,65700,64700,65600,9791064
2023-05-08,62511.82813,65900,66300,65400,66300,9405365
2023-05-09,61942.67578,65300,65800,65100,65800,9366861
2023-05-10,61278.66797,64600,65500,64300,65500,13057727
2023-05-11,60899.23438,64200,65100,64200,64700,11648905
2023-05-12,60804.375,64100,64600,63600,63700,8693913
2023-05-15,61183.80859,64500,64600,63900,64100,8172021
2023-05-16,62037.53125,65400,65900,65300,65800,12334657
2023-05-17,61658.10547,65000,65900,64800,65900,10745504
2023-05-18,62796.40234,66200,66200,65700,66000,14431704
2023-05-19,64883.30078,68400,68400,67500,67800,20349345
2023-05-22,64978.14453,68500,69000,68000,68400,14470308
2023-05-23,64883.30078,68400,68700,68100,68500,8561643
2023-05-24,64978.14453,68500,68700,68000,68100,8192896
2023-05-25,65262.71875,68800,70000,68700,69900,14231160
2023-05-26,66685.61719,70300,70400,69500,69800,19549511
2023-05-30,68582.78125,72300,72300,71200,71300,27476897
2023-05-31,67729.0625,71400,72500,71000,72400,25666087
2023-06-01,67254.75,70900,71600,70600,70900,14669296
2023-06-02,68487.91406,72200,72200,71600,71700,12161798
2023-06-05,68013.64063,71700,72700,71400,72700,12686829
2023-06-07,67349.60938,71000,71600,70800,71300,14796613
2023-06-08,67254.75,70900,70900,70000,70400,19165568
2023-06-09,68298.21094,72000,72300,70800,71100,15050209
2023-06-12,67349.60938,71000,72400,70800,72100,12064287
2023-06-13,68298.21094,72000,72200,71600,71700,13227285
2023-06-14,68203.34375,71900,72200,71100,72100,12541046
2023-06-15,67823.91406,71500,72300,71300,72100,13614994
2023-06-16,68108.49219,71800,71900,70900,71800,15373696
2023-06-19,67539.32813,71200,71700,70900,71300,11100887
2023-06-20,67729.0625,71400,71400,70400,70700,11557883
2023-06-21,66875.32813,70500,71200,70400,70700,10626603
2023-06-22,67634.19531,71300,71500,70100,70200,11411007
2023-06-23,67918.77344,71600,72200,71600,72000,12329484
2023-06-26,68677.64063,72400,72500,71500,71700,10541901
2023-06-27,68867.35156,72600,72600,72000,72500,9442997
2023-06-28,68962.21094,72700,72700,72000,72600,8783093
2023-06-29,69020.35938,72400,73400,72400,73100,12229967
2023-06-30,68829.69531,72200,72700,71700,72500,11694765
2023-07-03,69592.35938,73000,73200,72600,72700,10722181
2023-07-04,69592.35938,73000,73600,72900,73400,10214350
2023-07-05,68639.03125,72000,73300,71900,73000,12310610
2023-07-06,68257.71094,71600,72400,71500,71900,14777667
2023-07-07,66637.05469,69900,71400,69800,71100,17308877
2023-07-10,66255.75,69500,70400,69200,70000,11713926
2023-07-11,68162.375,71500,71500,70100,70200,12177392
2023-07-12,68543.70313,71900,72000,71100,71200,10375581
2023-07-13,68543.70313,71900,72600,71900,72400,14417279
2023-07-14,69973.67969,73400,73400,72400,72500,15882519
2023-07-17,69878.35938,73300,73500,72800,73200,10060049
2023-07-18,68639.03125,72000,73500,72000,73200,11697900
2023-07-19,68353.03906,71700,72800,71300,72700,10896412
2023-07-20,67685.71094,71000,71500,70800,71100,9732730
2023-07-21,67018.39063,70300,70400,69400,70400,16528926
2023-07-24,67113.73438,70400,70900,69900,70100,13418597
2023-07-25,66732.40625,70000,70500,69800,70000,14314945
2023-07-26,66541.73438,69800,70600,68100,69800,30016221
2023-07-27,68353.03906,71700,71700,69300,69900,24261179
2023-07-28,67304.39063,70600,72400,70100,71800,19420683
2023-07-31,66541.73438,69800,71000,69800,70900,13035420
2023-08-01,67781.0625,71100,71200,70000,70100,12299254
2023-08-02,66637.05469,69900,71000,69800,70700,13835020
2023-08-03,65588.41406,68800,70200,68500,69900,20087090
2023-08-04,65111.75391,68300,69100,68200,68800,12360193
2023-08-07,65302.41016,68500,69200,67600,67700,10968505
2023-08-08,64444.43359,67600,69100,67400,69000,14664709
2023-08-09,65683.75,68900,69600,67900,68000,17259673
2023-08-10,64825.76563,68000,68500,67800,68300,10227311
2023-08-11,64349.08984,67500,68800,67500,68400,9781038
2023-08-14,64158.44531,67300,67900,66900,67500,9352343
2023-08-16,63872.44531,67000,67100,66300,66700,13174578
2023-08-17,63586.4375,66700,66800,66000,66300,10778652
2023-08-18,63205.11328,66300,66700,65800,66000,11745006
2023-08-21,63491.11719,66600,67100,66300,66600,9720067
2023-08-22,63491.11719,66600,67700,66300,67200,10500242
2023-08-23,63967.77344,67100,67100,66400,66700,9549352
2023-08-24,65016.42969,68200,68700,67900,68300,15044463
2023-08-25,63967.77344,67100,67400,66900,67100,7032462
2023-08-28,63681.77734,66800,67000,66500,66800,5824628
2023-08-29,63681.77734,66800,67200,66600,66900,9114352
2023-08-30,63967.77344,67100,67700,67100,67300,9181223
2023-08-31,63777.11328,66900,67200,66400,67100,15964630
2023-09-01,67685.71094,71000,71000,66700,66800,29738235
2023-09-04,67876.375,71200,72900,70700,72900,26286495
2023-09-05,67399.72656,70700,71500,70200,70900,12330239
2023-09-06,66732.40625,70000,70800,69700,70700,11414620
2023-09-07,67113.73438,70400,70600,69600,70000,13741241
2023-09-08,67018.39063,70300,70300,69600,70200,10688118
2023-09-11,67495.05469,70800,70800,70000,70400,11785462
2023-09-12,67209.0625,70500,71000,70400,70800,11688599
2023-09-13,67590.38281,70900,71600,70300,71100,15955797
2023-09-14,68353.03906,71700,71800,70800,71200,21041407
2023-09-15,68639.03125,72000,72300,71400,71700,17823512
2023-09-18,66923.07031,70200,71700,70200,71300,16040727
2023-09-19,66541.73438,69800,70800,69600,70400,11820188
2023-09-20,66351.07813,69600,70300,69500,70000,10873015
2023-09-21,65683.75,68900,69800,68800,69200,10796336
2023-09-22,65588.41406,68800,68900,68300,68300,9897840
2023-09-25,66160.39844,69400,69700,68500,68500,13582516
2023-09-26,65739.71875,68600,70000,68400,70000,13143470
2023-09-27,65548.05469,68400,69100,68200,68600,14886491
2023-10-04,64685.57031,67500,67700,66700,67400,23361149
2023-10-05,63918.92969,66700,67400,66700,67300,16108313
2023-10-06,63248.12109,66000,67300,66000,67100,14386527
2023-10-10,63631.44141,66400,67600,66200,66200,19889202
2023-10-11,65356.39844,68200,69400,67900,68600,25209349
2023-10-12,66027.21094,68900,69700,68200,68600,19311380
2023-10-13,65164.73828,68000,68500,67700,68000,9724086
2023-10-16,64493.92578,67300,68500,66800,67900,12599299
2023-10-17,66506.35156,69400,69900,67400,67700,17299253
2023-10-18,67560.49219,70500,70500,68800,68900,16493184
2023-10-19,66602.19531,69500,70000,69400,69700,13985012
2023-10-20,65931.375,68800,69200,68100,68900,15204495
2023-10-23,65548.05469,68400,69100,68200,68700,11625959
2023-10-24,65643.875,68500,68800,67700,68700,12791710
2023-10-25,65164.73828,68000,68800,67900,68800,10610703
2023-10-26,63918.92969,66700,67900,66700,67000,15517624
2023-10-27,64493.92578,67300,67300,66700,67100,11334726
2023-10-30,64493.92578,67300,67800,66700,66800,10139270
2023-10-31,64110.60156,66900,68300,66900,67600,14488892
2023-11-01,65739.71875,68600,68900,67300,67500,13775256
2023-11-02,66793.84375,69700,70000,69400,70000,16350031
2023-11-03,66698.02344,69600,70200,69500,69700,10322234
2023-11-06,67943.8125,70900,70900,69300,69800,22228489
2023-11-07,67943.8125,70900,70900,70000,70600,17228731
2023-11-08,66985.5,69900,71400,69700,71300,12901310
2023-11-09,67368.82813,70300,70800,69600,69900,12301373
2023-11-10,67560.49219,70500,70500,69500,70000,9684347
2023-11-13,67464.67188,70400,71300,70300,71300,9246919
2023-11-14,67847.98438,70800,71100,70600,71000,9567984
2023-11-15,69189.60156,72200,72200,71500,71600,20148677
2023-11-16,69764.58594,72800,73000,72300,72500,15860451
2023-11-17,69477.10938,72500,73000,72300,72300,11494644
2023-11-20,69668.77344,72700,73000,72100,72100,10610157
2023-11-21,69764.58594,72800,73400,72700,73100,9712881
2023-11-22,69764.58594,72800,73000,71900,72200,11105143
2023-11-23,69381.26563,72400,73200,72200,73000,6775614
2023-11-24,68710.45313,71700,72600,71700,72400,6676685
2023-11-27,68327.13281,71300,72100,71100,71500,9113857
2023-11-28,69668.77344,72700,72700,71300,71400,13283081
2023-11-29,69668.77344,72700,72800,72200,72400,9283933
2023-11-30,69764.58594,72800,72800,72200,72700,15783714
2023-12-01,68997.94531,72000,72500,71700,72400,9871284
2023-12-04,69572.92188,72600,72900,72400,72800,10229267
2023-12-05,68231.29688,71200,72400,71200,72300,12129682
2023-12-06,68710.45313,71700,72100,71600,71800,8123087
2023-12-07,68518.79688,71500,71900,71100,71800,8862017
2023-12-08,69572.92188,72600,72800,71900,72100,10859463
2023-12-11,69956.25781,73000,73000,72200,72800,9861960
2023-12-12,70435.39844,73500,73500,73100,73300,13758646
2023-12-13,69764.58594,72800,73500,72800,73300,13116766
2023-12-14,70052.07813,73100,74300,72500,74100,27567593
2023-12-15,70243.75,73300,74000,73200,73800,15419815
2023-12-18,69860.42969,72900,73400,72800,73300,9690551
2023-12-19,70339.57031,73400,73400,72800,73000,8907632
2023-12-20,71681.19531,74800,74900,73800,74200,16870156
2023-12-21,71872.85938,75000,75000,74300,74600,13478766
2023-12-22,72735.34375,75900,76300,75400,75800,14515608
2023-12-26,73406.15625,76600,76700,75700,76100,13164909
2023-12-27,75101.71094,78000,78000,76500,76700,20651042
2023-12-28,75583.14844,78500,78500,77500,77700,17797536
2024-01-02,76642.26563,79600,79800,78200,78200,17142847
2024-01-03,74138.875,77000,78800,77000,78500,21753644
2024-01-04,73753.73438,76600,77300,76100,76100,15324439
2024-01-05,73753.73438,76600,77100,76400,76700,11304316
2024-01-08,73657.46094,76500,77500,76400,77000,11088724
2024-01-09,71924.33594,74700,77700,74300,77400,26019249
2024-01-10,70865.21875,73600,75200,73200,75000,20259529
2024-01-11,70480.07031,73200,73600,72700,72900,57691266
2024-01-12,70383.78906,73100,74100,72800,73000,13038939
2024-01-15,71154.0625,73900,74000,73200,73200,2957915
2024-01-16,69902.36719,72600,73700,72500,73500,14760415
2024-01-17,68361.8125,71000,73300,71000,73100,22683660
2024-01-18,69035.8125,71700,72000,70700,71600,17853397
2024-01-19,71924.33594,74700,74700,73000,73500,23363427
2024-01-22,72309.47656,75100,76000,75000,75900,19673375
2024-01-23,72405.75781,75200,75800,74300,75700,14786224
2024-01-24,71250.35156,74000,75200,73500,75200,12860661
2024-01-25,71346.64063,74100,74800,73700,74200,11737747
2024-01-26,70672.64063,73400,74500,73300,73700,11160062
2024-01-29,71635.47656,74400,75200,73500,73800,13976521
2024-01-30,71539.19531,74300,75300,73700,75000,12244418
2024-01-31,69998.67188,72700,74000,72500,73400,15703560
2024-02-01,70865.21875,73600,74200,72900,73000,19881033
2024-02-02,72405.75781,75200,75200,73700,74000,14955881
2024-02-05,71539.19531,74300,74800,73500,74200,19026021
2024-02-06,71635.47656,74400,74700,73300,74300,14559254
2024-02-07,72213.20313,75000,75500,74300,74600,16566445
2024-02-08,71346.64063,74100,75200,73600,75000,20810708
2024-02-13,72405.75781,75200,75200,74400,74800,21966745
2024-02-14,71250.35156,74000,74300,73700,73700,12434945
2024-02-15,70480.07031,73200,74400,73000,74200,14120600
2024-02-16,70094.94531,72800,73400,72500,73300,13444781
2024-02-19,71057.78125,73800,73900,72800,72800,12726404
2024-02-20,70576.35938,73300,73700,72800,73700,14681477
2024-02-21,70287.51563,73000,73700,72900,73400,11503495
2024-02-22,70383.78906,73100,73900,72700,73800,15208934
2024-02-23,70191.22656,72900,74200,72900,73600,16225166
2024-02-26,70094.94531,72800,73200,72200,72300,14669352
2024-02-27,70191.22656,72900,73400,72700,73100,13201981
2024-02-28,70480.07031,73200,73900,72800,72900,11795859
2024-02-29,70672.64063,73400,73400,72000,72600,21176403
2024-03-04,72116.91406,74900,75000,74000,74300,23210474
2024-03-05,70961.5,73700,74800,73700,74600,19505125
2024-03-06,70191.22656,72900,73500,72700,73200,21547905
